ID|Personnage|Texte|Phase ID|Dialog ID|En réponse à|Réponses possibles|empty
0|Pecqueux|Allez, à nos postes, Pecqueux ! Ce ciel noir m’inquiète. Le diable m’emporte si l’on voit un signal !||0|||
1|Lantier|Encore si l’on peut passer !||0|0||
2|Lantier|On monte. L'aiguille bleue du manomètre (indiquant la pression) baisse, le feu tombe…||1|||
3|Lantier|Malgré ce sale temps, je dois éviter de prendre du retard ! Sinon, je peux dire adieu à ma prime ce mois-ci !||1|2||
4|Lantier|Jamais elle ne montera, la fénéante !||2|||
5|Lantier|La grande rampe de trois lieues ! La vitesse diminue et la Lison s’essoufle ! Pecqueux, nous devons rattraper !||2|4||
6|Lantier|Pauvre bête ! Elle craque de tous ses membres !||3|||
7|Lantier|Nom de Dieu ! Il y a trop de charbon, la pression monte trop !||3|6||
8|Lantier|Il faut qu’elle monte, la salle rosse ! Mais comme d’habitude, on doit lui faire ses caprices !||4|||
9|Lantier|Jamais elle ne montera si on ne l’engraisse pas ! J’y vais !||4|8||
10|Pecqueux|Nom de Dieu ! Tout à disparu ! D’habitude j’ai de bons yeux ! Que diable m’emporte si je vois quelque chose !||5|||
11|Pecqueux|Lantier, je crois avoir vu pendant un instant un feu rouge au loin !||5|10||
12|Chef de gare|Bonjour Messieurs||6|||
13|Lantier|Bonjour, avec cette neige il faudrait renforcer l’attelage en ajoutant une seconde machine.||6|12||
14|Chef de gare|Je n’ai pas reçu d’ordre, et je ne crois pas devoir prendre cette mesure sur moi.||6|13||
15|Lantier|…||6|14||
16|Chef de gare|Ce que je peux faire, c’est vous donner des pelles, au cas où ça tournerait mal.||6|15||
17|Lantier|Pecqueux, va les ranger dans un coin du tender.||6|16||
18|Pecqueux|Les voilà bien disposées Lantier.||6|17||
19|Lantier|Très bien, on peut repartir.||6|18||
20|Lantier|Bon, on avance à une bonne vitesse, sans trop de peine, même si je sens qu’elle se lasse un peu avec cette neige qui s’accumule. Pecqueux, continuez à mettre du charbon !||7|||
21|Pecqueux|Je m’en occupe !||7|20||
22|Lantier|Tonnerre de Dieu ! On ne distingue rien avec ce brouillard !||7|21||
23|Lantier|Et voici que le chef de gare me signale des quantités considérables de neige à la Croix-de-Maufras !||8|||
24|Lantier|Tonnerre de Dieu ! Je l’ai bien dit à Beuzeville !||8|23||
25|Pecqueux|Lantier, calmez-vous donc…||8|24||
26|Chef de gare|Je crois qu’on peut encore passer, mais vous aurez de la peine.||8|25||
27|Lantier|Qu’est-ce que ça pouvait leur faire, de doubler l’attelage ? … Ah ! Nous allons être gentils !||8|26||
28|Lantier|La neige s'amasse de façon irrégulière, des masses de neige bouchent certains passages…||9|||
29|Lantier|Je crains qu’on ne s’enlise un peu plus loin, entre deux talus !||9|28||
30|Lantier|Pécqueux, nom de Dieu de salop! Réveillez-vous! Le manomètre descend encore!||9|29||
31|Lantier|La Lison s’arrête! Elle ne bouge plus! C’est fait, la neige la tient! ||9|30||
32|Lantier|Avoir dégagé le cendrier devrait nous suffire pour repartir.||10|||
